Sample,SBS5,SBS1,SBSB,SBSblood
PD42590b,0.12511686158705115,0.14520226139739534,0.16651153049256792,0.5631693465229856
PD42591b,0.26862108362614273,0.1302682301986675,0.0,0.6011106861751897
PD42596b,0.2648307974936823,0.1443488469080125,0.0,0.5908203555983053
PD42673b,0.2635856907242311,0.11389133399810962,0.09501805438855349,0.5275049208891058
PD42882b,0.23461885394370888,0.112144645251122,0.15991556974217047,0.4933209310629986
PD42884b,0.25874411235109374,0.13915918104926214,0.0926068467844572,0.5094898598151869
PD42885b,0.22173399582513245,0.12822973403802876,0.11189096987003117,0.5381453002668077
PD42886b,0.29408985525886167,0.13268750015279251,0.0,0.5732226445883458
PD42887b,0.2836239380721973,0.1283943225678795,0.1764345783555257,0.41154716100439737
PD42890b,0.19125948288372102,0.10438306941184544,0.0,0.7043574477044335
PD42891b,0.2860658922171771,0.08610952386007292,0.1524484367789312,0.4753761471438189
PD42893b,0.21756629770486396,0.14153067006130174,0.0907535603138476,0.5501494719199868
PD42894b,0.0,0.10920279982222958,0.09057257024843945,0.8002246299293309
PD42895b,0.0,0.16871230904531012,0.0,0.8312876909546899
PD42897b,0.44360694376255194,0.10875662165973404,0.12862995072439495,0.3190064838533192
PD42898b,0.20941606507291513,0.12153775054603078,0.0,0.6690461843810541
PD42899b,0.3348367611342553,0.13340418136127294,0.0,0.5317590575044716
PD42902b,0.32980107772086636,0.14219980669718305,0.0996999055980454,0.42829920998390514
PD42903b,0.18404427381646823,0.1360030045176671,0.1659105895068226,0.5140421321590419
PD42904b,0.17646305468293438,0.15978694249014144,0.115531313718965,0.5482186891079593
PD42905b,0.17645576585902925,0.13504239153970143,0.0,0.6885018426012692
PD42906b,0.4305662231141515,0.09250303062249858,0.13006740303561934,0.3468633432277306
PD46710b,0.16154577521301267,0.16606214188660579,0.0,0.6723920829003817
PD46714b,0.1577363383120917,0.17105700237944255,0.09852833632562703,0.5726783229828388
PD46721b,0.29165424363406717,0.15049308458207186,0.0,0.557852671783861
PD46724b,0.2175603213506048,0.1619090057473501,0.11521985328467206,0.5053108196173731
PD46738b,0.27366537328639495,0.08980960746421282,0.2824668595945053,0.3540581596548869
PD46743b,0.167523186154853,0.0898730450967451,0.0,0.7426037687484018
PD46744b,0.2268205724326593,0.1219991563426596,0.13161354304880654,0.5195667281758746
PD46748b,0.0,0.11654277770676869,0.0,0.8834572222932312
PD46750b,0.2638879286511828,0.14557916560466774,0.1425710197526391,0.4479618859915103
PD46766b,0.1300630055437722,0.10377304150729638,0.11815754222409403,0.6480064107248373
PD46769b,0.0,0.1583645976192525,0.0,0.8416354023807475
PD46770b,0.0,0.1041127191907309,0.0,0.895887280809269
PD46772b,0.3281166901267203,0.2080179091507149,0.15739385189988236,0.30647154882268257
PD46773b,0.17143489337376558,0.1640376607869964,0.12776619480465887,0.5367612510345793
PD46774b,0.21975447590009559,0.1210132949536803,0.07382916967322806,0.5854030594729961
PD46775b,0.1456010270468831,0.11949603278418952,0.10655219182156797,0.6283507483473595
PD46777b,0.13977158726597358,0.06878149059254476,0.09478609001912976,0.6966608321223519
PD46798b,0.0,0.1103386926612869,0.13257967344698893,0.7570816338917241
PD46799b,0.0,0.1545645678963538,0.0,0.8454354321036461
PD46800b,0.0,0.16219424712568184,0.13054674086574336,0.707259012008575
PD46819b,0.2565791687867589,0.1688181498932677,0.09755691593396884,0.4770457653860045
PD46820b,0.0,0.18203832790649163,0.16461201344102952,0.6533496586524788
PD46834b,0.0,0.15646839487299866,0.0,0.8435316051270013
PD46835b,0.1364627207066854,0.129206021451267,0.1320945555931394,0.6022367022489081
PD46836b,0.0,0.20324283186403946,0.12454876812821718,0.6722084000077433
PD46838b,0.0,0.15059602765249805,0.10096226232957839,0.7484417100179236
PD46839b,0.0,0.14017091154853167,0.12094143585193197,0.7388876525995364
PD46841b,0.4905180845328092,0.11025465298737168,0.0,0.3992272624798191
PD46842b,0.22311448786213153,0.11841766714077451,0.157299045533311,0.5011687994637828
PD46857b,0.0,0.13452351358433345,0.15873805784422199,0.7067384285714445
PD46858b,0.37336902826597607,0.16639725342340916,0.0,0.46023371831061477
PD46859b,0.0,0.17528961367370002,0.1598170021059285,0.6648933842203715
PD46860b,0.3712292978182805,0.13034705989399084,0.18752124617385,0.3109023961138786
PD46861b,0.12234457190416398,0.12877912555028653,0.0,0.7488763025455495
PD46866b,0.15631478119173586,0.15039641360005604,0.19200757963861925,0.5012812255695888
PD46868b,0.28825826274115696,0.15737373512681105,0.09277026042503544,0.4615977417069966
PD46869b,0.0,0.10724958382429396,0.0,0.892750416175706
PD46870b,0.22038661628456932,0.14123864963086957,0.13975788218772686,0.4986168518968343
PD46871b,0.319821361271867,0.1319130674095103,0.17255006121788682,0.37571551010073584
PD46872b,0.20558505740822336,0.18392881267277125,0.0,0.6104861299190053
PD46873b,0.3128769735086763,0.14793416676801824,0.12244179402089042,0.4167470657024151
PD46875b,0.0,0.21126199631211046,0.0887408017330685,0.6999972019548211
PD46877b,0.2152689517702056,0.14515429243270594,0.119339602414411,0.5202371533826774
PD46878b,0.0,0.1512477358582116,0.0,0.8487522641417884
PD46882b,0.24550486542261532,0.15526461113106627,0.1110561859940325,0.488174337452286
PD46885b,0.0,0.124807237356153,0.0,0.875192762643847
PD46886b,0.15306639506923023,0.11592809977354045,0.0,0.7310055051572293
PD46887b,0.18030540517465168,0.10718568346167151,0.08069997170549571,0.6318089396581811
PD46888b,0.0,0.1017540299915377,0.0730402915403391,0.8252056784681232
PD46889b,0.15716479374009784,0.14766316693656792,0.0,0.6951720393233343
PD46891b,0.0,0.12801827345647912,0.12957241220673477,0.7424093143367861
PD46892b,0.1909870718209566,0.13000439126780122,0.0,0.6790085369112423
PD46903b,0.0,0.0865272856346846,0.1325932575813323,0.780879456783983
PD46904b,0.43120657376589666,0.11403180140831612,0.0,0.4547616248257872
PD46911b,0.383858737912483,0.11035999290935597,0.16014830216861609,0.345632967009545
PD46912b,0.2313179189717209,0.1516234138746583,0.1809041019898775,0.43615456516374335
PD46914b,0.24723056679568697,0.15026355064516375,0.0,0.6025058825591493
PD46920b,0.27915068072573246,0.13717006830273976,0.11901901606637347,0.4646602349051543
PD46922b,0.30837571519332957,0.14877556723335852,0.08583644528054217,0.4570122722927698
PD46925b,0.3434896757502951,0.12808809978684332,0.08391322921250767,0.4445089952503539
PD46929b,0.23177545280780773,0.1762933606692019,0.16316709142303434,0.42876409509995606
PD46930b,0.161450850575838,0.1747632384102144,0.1466114338621041,0.5171744771518435
PD46934b,0.3045747523577867,0.13969695550003786,0.06989932343197032,0.4858289687102051
PD46935b,0.20960980749890304,0.1457747194487649,0.1296835978132217,0.5149318752391103
PD46937b,0.18978740998550592,0.10336235366034821,0.1988739509444001,0.5079762854097458
PD46938b,0.299799830678984,0.12416996678764915,0.14262116889112755,0.43340903364223926
PD46941b,0.13915510555978847,0.14705643615360936,0.07188570353323122,0.641902754753371
PD46948b,0.0,0.17209195296070978,0.1419351066220801,0.6859729404172102
PD46952b,0.0,0.13624646938109738,0.15812568616928738,0.7056278444496151
